# Time-averaged data for fix relax3
# TimeStep c_Tup c_Tdown c_allke c_allpe
731200 570.937 342.872 262.062 -28191.9
731300 573.359 340.405 263.173 -28192.8
731400 573.103 342.942 263.056 -28192.7
731500 573.093 341.568 263.051 -28192.8
731600 571.322 342.39 262.238 -28192.1
731700 572.424 342.775 262.744 -28192.5
731800 574.266 341.947 263.59 -28193.5
731900 571.731 342.521 262.426 -28192.3
732000 573.376 341.805 263.181 -28193.2
732100 570.859 344.446 262.026 -28192.5
732200 571.605 342.131 262.368 -28192.8
732300 572.148 343.897 262.618 -28193.3
732400 572.411 343.505 262.738 -28193.3
732500 572.349 342.515 262.71 -28193.1
732600 572.611 344.089 262.83 -28193.2
732700 571.845 343.517 262.478 -28192.9
732800 573.968 343.545 263.453 -28193.6
732900 571.531 340.508 262.334 -28192.1
733000 574.589 341.928 263.738 -28193.6
733100 571.709 341.954 262.416 -28192.4
733200 570.136 342.308 261.694 -28192.2
733300 570.677 343.248 261.942 -28192.8
733400 573.122 342.727 263.065 -28193.9
733500 571.074 341.987 262.125 -28193.1
733600 570.678 342.015 261.943 -28193.1
733700 570.618 343.61 261.915 -28193.3
733800 570.451 345.166 261.839 -28193
733900 571.162 343.268 262.165 -28193
734000 573.888 344.18 263.416 -28193.9
734100 571.751 342.666 262.435 -28192.6
734200 573.934 340.299 263.437 -28193
734300 572.429 340.981 262.746 -28192.2
734400 573.104 341.614 263.056 -28192.5
734500 572.38 342.902 262.724 -28192.4
734600 572.469 341.396 262.765 -28192.4
734700 574.422 342.223 263.661 -28193.2
734800 573.452 341.553 263.216 -28192.5
734900 574.306 340.875 263.608 -28193
735000 570.869 341.819 262.031 -28191.7
735100 572.439 341.403 262.751 -28192.5
735200 570.786 341.494 261.993 -28192.1
735300 574.407 342.784 263.655 -28194
735400 571.285 342.739 262.221 -28193
735500 571.203 343.908 262.184 -28193.2
735600 572.863 342.856 262.946 -28193.9
735700 569.294 344.515 261.307 -28192.3
735800 572.458 342.413 262.76 -28193.5
735900 571.532 342.4 262.335 -28193
736000 572.002 344.168 262.55 -28193.3
736100 573.176 342.318 263.089 -28193.9
736200 571.541 344.667 262.339 -28193.5
736300 571.346 344.144 262.25 -28194
736400 568.419 343.854 260.906 -28193.1
736500 568.567 346.294 260.974 -28193.8
736600 568.441 345.698 260.916 -28193.7
736700 572.067 342.752 262.58 -28195.1
736800 568.974 345.378 261.161 -28193.9
736900 570.54 345.525 261.879 -28194.8
737000 566.301 346.504 259.934 -28193.3
737100 568.64 345.183 261.008 -28194.3
737200 567.437 344.695 260.455 -28193.8
737300 570.103 347.285 261.679 -28195.3
737400 567.322 345.741 260.403 -28193.7
737500 570.21 346.35 261.728 -28194.7
737600 570.657 346.707 261.933 -28194.9
737700 568.659 345.594 261.016 -28193.8
737800 570.764 344.846 261.982 -28194.4
737900 570.739 344.621 261.971 -28194.7
738000 568.286 349.099 260.845 -28194.4
738100 568.749 347.473 261.057 -28195.1
738200 567.502 347.284 260.485 -28194.5
738300 568.492 346.539 260.939 -28195.1
738400 567.125 346.328 260.312 -28194.7
738500 566.988 347.918 260.249 -28195
738600 568.083 347.276 260.752 -28195.3
738700 566.537 347.145 260.042 -28194.5
738800 568.337 348.743 260.868 -28195.3
738900 567.286 347.204 260.386 -28194.7
739000 568.672 346.791 261.022 -28195.2
739100 567.716 346.485 260.583 -28194.6
739200 568.64 345.792 261.007 -28195
739300 567.633 346.572 260.545 -28194.5
739400 568.195 349.027 260.803 -28195.1
739500 567.776 347.677 260.611 -28194.8
739600 567.323 348.456 260.403 -28194.6
739700 569.602 346.957 261.449 -28195.6
739800 566.35 347.234 259.956 -28194.4
739900 568.387 347.576 260.891 -28195.1
740000 566.619 347.344 260.08 -28194.2
740100 569.206 347.201 261.267 -28195.3
740200 568.043 347.343 260.733 -28195
740300 569.464 349.678 261.386 -28196.2
740400 567.488 348.866 260.478 -28195.6
740500 566.26 347.861 259.915 -28195.1
740600 565.518 346.186 259.574 -28194.8
740700 565.56 349.547 259.594 -28195.2
740800 565.214 349.681 259.435 -28195.6
740900 565.395 351.126 259.518 -28195.9
741000 567.919 348.576 260.676 -28197.1
741100 566.486 349.891 260.019 -28196.8
741200 563.665 351.464 258.724 -28195.9
741300 563.425 349.748 258.614 -28196.1
741400 563.656 351.982 258.72 -28196.4
741500 565.211 350.878 259.433 -28197
741600 565.965 351.789 259.78 -28197.5
741700 562.648 351.938 258.257 -28196.3
741800 564.204 351.178 258.971 -28197.2
741900 560.709 350.29 257.367 -28195.8
742000 564.648 351.12 259.175 -28197.5
742100 562.224 351.523 258.062 -28196.4
742200 562.759 352.097 258.308 -28196.3
742300 566.077 349.286 259.831 -28197.3
742400 565.25 350.245 259.452 -28196.9
742500 562.658 350.616 258.262 -28196
742600 563.144 351.532 258.485 -28196.5
742700 565.158 350.116 259.409 -28197.2
742800 563.572 350.852 258.681 -28196.4
742900 564.697 350.55 259.198 -28196.8
743000 564.701 351.72 259.199 -28196.8
743100 562.966 350.092 258.403 -28195.9
743200 563.984 349.842 258.87 -28196.3
743300 565.144 350.44 259.402 -28196.8
743400 564.385 350.361 259.054 -28196.6
743500 562.463 351.193 258.172 -28195.8
743600 566.465 350.104 260.009 -28197.5
743700 565.113 350.999 259.388 -28196.7
743800 563.809 350.185 258.79 -28196.4
743900 564.052 353.028 258.901 -28197.2
744000 563.008 352.347 258.422 -28196.9
744100 562.908 350.813 258.377 -28196.8
744200 563.852 351.961 258.809 -28197.1
744300 564.214 351.105 258.976 -28197
744400 563.036 350.428 258.435 -28196.1
744500 565.681 349.796 259.649 -28197.3
744600 563.325 351.434 258.568 -28196.5
744700 562.848 351.24 258.349 -28196.2
744800 566.907 350.522 260.212 -28197.9
744900 562.044 350.602 257.98 -28196
745000 563.563 351.074 258.677 -28196.8
745100 563.379 351.122 258.593 -28197.1
745200 562.81 352.904 258.331 -28197.3
745300 563 352.127 258.419 -28197.4
745400 561.612 350.743 257.781 -28196.8
745500 562.422 352.028 258.153 -28197.5
745600 561.174 352.908 257.58 -28197.3
745700 563.775 354.229 258.774 -28198.6
745800 560.128 352.313 257.1 -28197.2
745900 561.817 353.339 257.875 -28198
746000 560.976 353.942 257.489 -28197.6
746100 562.199 352.383 258.051 -28198
746200 559.855 353.306 256.975 -28196.7
746300 564.395 353.386 259.059 -28198.4
746400 562.669 350.59 258.267 -28197.3
746500 562.402 351.969 258.144 -28197.3
746600 561.795 351.732 257.865 -28197.3
746700 562.398 352.885 258.142 -28198.1
746800 561.087 354.183 257.541 -28197.8
746900 559.474 353.968 256.8 -28197
747000 563.424 352.942 258.613 -28198.4
747100 563.269 352.191 258.542 -28198
747200 561.75 352.837 257.845 -28197.4
747300 562.383 353.543 258.135 -28197.7
747400 561.422 353.426 257.694 -28197.3
747500 561.023 351.367 257.511 -28197
747600 562.224 353.057 258.062 -28197.8
747700 562.013 352.602 257.965 -28197.8
747800 562.584 353.361 258.228 -28197.9
747900 562.21 354.371 258.056 -28198
748000 561.23 353.889 257.606 -28197.9
748100 560.297 353.749 257.178 -28197.4
748200 563.21 354.005 258.515 -28198.5
748300 560.931 351.818 257.469 -28197.6
748400 561.294 354.665 257.635 -28198
748500 560.611 354.308 257.322 -28197.7
748600 561.107 352.849 257.55 -28197.9
748700 561.104 354.432 257.548 -28198.4
748800 560.901 356.356 257.455 -28198.7
748900 558.97 353.148 256.569 -28197.6
749000 561.68 354.782 257.813 -28198.8
749100 559.809 354.914 256.954 -28198.2
749200 560.701 354.958 257.364 -28199
749300 558.614 356.784 256.406 -28198.6
749400 559.268 358.47 256.706 -28199.4
749500 559.882 357.237 256.987 -28199.5
749600 559.612 356.103 256.864 -28199.1
749700 558.716 355.746 256.452 -28198.4
749800 560.48 353.313 257.262 -28198.9
749900 558.759 356.389 256.472 -28198.2
750000 558.152 355.128 256.193 -28198.3
750100 558.649 355.672 256.421 -28198.4
750200 561.187 354.446 257.586 -28199.1
750300 560.836 355.088 257.425 -28198.5
750400 560.95 354.454 257.478 -28198.4
750500 559.852 355.041 256.974 -28197.8
750600 561.417 353.018 257.692 -28198.3
750700 561.845 353.595 257.888 -28198.8
750800 556.738 355.819 255.544 -28197
750900 563.085 356.006 258.458 -28199.6
